recording,back left,back right,front right,front left
test_video_,"[281, 154]","[719, 160]","[855, 539]","[132, 538]"
test_video_trim-,"[279, 153]","[723, 161]","[854, 538]","[131, 539]"
test_video_trim-dmbs,"[276, 155]","[719, 158]","[856, 537]","[132, 539]"
test_video_trim-dmbs,"[279, 157]","[722, 159]","[855, 538]","[131, 538]"
test_video_trim-dmbs,"[279, 156]","[718, 159]","[854, 538]","[131, 541]"
test_video_trim-dmbs,"[278, 157]","[718, 159]","[854, 538]","[131, 537]"
test_video_trim-dmbs,"[278, 155]","[718, 161]","[855, 537]","[132, 538]"
test_video_trim-dmbs,"[279, 154]","[722, 162]","[851, 537]","[131, 536]"
test_video_trim-dmbs,"[278, 154]","[719, 161]","[852, 535]","[134, 538]"
behavior-raw-d7t20_ne_20211023--merged-dmbs,"[42, 44]","[494, 48]","[492, 266]","[41, 264]"
behavior-raw-d7t20_ne_20211023--merged-dmbs,"[42, 43]","[493, 48]","[491, 266]","[40, 263]"
behavior-raw-d7t20_ne_20211023--merged-dmbs,"[43, 43]","[496, 49]","[493, 266]","[40, 263]"
behavior-raw-d7t20_ne_20211023--merged-dmbs,"[42, 43]","[493, 46]","[493, 266]","[40, 263]"
behavior-raw-d7t20_ne_20211023--merged-dmbs,"[43, 44]","[494, 46]","[493, 267]","[40, 263]"
behavior-raw-d7t20_ne_20211023--merged-dmbs,"[43, 44]","[497, 49]","[493, 266]","[41, 263]"
behavior-raw-d7t20_ne_20211023--merged-dmbs,"[42, 45]","[493, 46]","[494, 265]","[40, 262]"
behavior-raw-d7t20_ne_20211023--merged-dmbs,"[42, 42]","[495, 49]","[493, 264]","[41, 263]"
behavior-raw-d7t20_ne_20211023--merged-dmbs,"[43, 42]","[493, 47]","[493, 266]","[40, 263]"
behavior-raw-d50t63_ne_2_20220118--merged-dmbs,"[96, 84]","[475, 93]","[471, 283]","[93, 285]"
d37t50_ne_20211221-d37t50_ne_20211221--merged-dmbs,"[52, 51]","[515, 59]","[508, 279]","[52, 274]"
behavior - raw-d63t76_ne_20220213--merged-dmbs,"[89, 57]","[471, 65]","[462, 254]","[91, 246]"
behavior - raw-d67t80_ne_20220213--merged-dmbs,"[77, 64]","[445, 71]","[438, 255]","[77, 247]"
behavior - raw-d68t81_ne_20220213_2--merged-dmbs,"[85, 65]","[454, 62]","[451, 249]","[91, 251]"
behavior - raw-d74t87_ne_20220213--merged-dmbs,"[71, 71]","[409, 68]","[405, 239]","[75, 242]"
d63 shadow0000-dmbs,"[265, 166]","[729, 175]","[869, 526]","[98, 529]"
d67 shadow0000-dmbs,"[268, 168]","[731, 177]","[870, 526]","[94, 528]"
d7t20_hc1_20211013--merged-dmbs,"[47, 28]","[355, 30]","[348, 196]","[43, 194]"
d50t63_hc1_20211119--merged-dmbs,"[40, 23]","[442, 17]","[453, 242]","[40, 248]"
d37t50_hc1_20211218-merged-dmbs,"[63, 53]","[455, 56]","[463, 273]","[58, 270]"
d63t76_hc1_20220208--merged-dmbs,"[2, 7]","[339, 3]","[344, 186]","[11, 190]"
d67t80_hc1_20220208--merged-dmbs,"[11, 8]","[383, 7]","[372, 200]","[20, 202]"
behavior - raw-d68t81_hc1_20220208--merged-dmbs,"[12, 7]","[365, 12]","[370, 206]","[19, 203]"
behavior - raw-d74t87_hc1_20220208--merged-dmbs,"[12, 13]","[393, 8]","[389, 211]","[12, 214]"
